NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,sparql_wikidata_translated,descriptions
Did {Black_hole} {opposite of} {stellar atmosphere}?,212,boolean one_hop right subgraph,212,Is a black hole the opposite of a stellar atmosphere?,ASK WHERE { wd:Q589 wdt:P461 wd:Q6311 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q589> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P461> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q6311>. } ,Ask (ent-pred-obj`),The stellar atmospheres opposite id the black hole correct?,ASK WHERE { [black hole] [opposite of] [stellar atmosphere] },"['[black hole] is astronomical object so massive, that anything falling into it, including light, cannot escape its gravity', '[stellar atmosphere] is outer region of the volume of a star', '[opposite of] is item that is in some way the opposite of this item']"
Did {Francis_Ford_Coppola} {notable work} {The Godfather} and {The Godfather Part III} ?,577,boolean double one_hop right subgraph,77,Did Francis Ford Coppola have notable works of The Godfather and The Godfather Part III?,ASK WHERE { wd:Q56094 wdt:P800 wd:Q47703 . wd:Q56094 wdt:P800 wd:Q202326 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q56094> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P800> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q47703>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q56094> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P800> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q202326>. } ,Ask (ent-pred-obj1 . ent-pred-obj2),Do the noted works of Francis Ford Coppola include The Godfather and the Godfather Part III?,ASK WHERE { [Francis Ford Coppola] [notable work] [The Godfather] . [Francis Ford Coppola] [notable work] [The Godfather Part III] },"['[Francis Ford Coppola] is American filmmaker', '[The Godfather] is 1972 American crime film by Francis Ford Coppola', '[Francis Ford Coppola] is American filmmaker', '[The Godfather Part III] is 1990 film directed by Francis Ford Coppola', ""[notable work] is notable scientific, artistic or literary work, or other work of significance among subject's works"", ""[notable work] is notable scientific, artistic or literary work, or other work of significance among subject's works""]"
Give me {audio and video interfaces and connectors} that contains the word {ypbpr} in their name,23958,string matching simple contains word,1618,tell me audio and video interfaces and connectors are name has the word ypbpr in it,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1153429 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'ypbpr')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1153429>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'ypbpr')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,let me know sound and video interfacing and connectors are title has the word ypbpr in it,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [audio and video interfaces and connectors] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'ypbpr')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[audio and video interfaces and connectors] is electrical or optical connectors for carrying audio and video signals', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {language official} of {lives in} of {Pasi Siltakorpi} ?,17161,left-subgraph,26613,What is the official language of lives in Pasi Siltakorpi?,SELECT ?answer WHERE { wd:Q28786447 wdt:P551 ?X . ?X wdt:P37 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q28786447> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P551>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P37> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which is the official language for lives in Pasi Siltakorpi,SELECT ?answer WHERE { [Pasi Siltakorpi] [residence] ?X . ?X [official language] ?answer},"['[official language] is language designated as official by this item', '[Pasi Siltakorpi] is politicus', '[residence] is the place where the person is or has been, resident']"
How many {color} are to/by {brown} ?,1757,statement_property,1101,How many colors are next to brown,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P462 wd:Q47071 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P462> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q47071 .
} 
",Count ent (ent-pred-obj),Which is the number of colors that are next to brown?,SELECT (COUNT(?sub) AS ?value ) { ?sub [color] [brown] },"['[color] is color of subject', '[brown] is color']"
What is the {pharmaceutical product} for {active ingredient in} of {erythromycin},20152,simple question right,498,What is the active ingredient pharmaceutical product in erythromycin?, select distinct ?obj where { wd:Q213511 wdt:P3780 ?obj . ?obj wdt:P31 wd:Q28885102 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q213511> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3780> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q28885102> } , <S P ?O ; ?O instanceOf Type>,What is the active ingredient in an erythromycin perscription?, select distinct ?obj where { [erythromycin] [active ingredient in] ?obj . ?obj [instance of] [pharmaceutical product] } ,"['[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[active ingredient in] is is part of and forms biologically active component. Inverse of ""has active ingredient""', '[pharmaceutical product] is qualitative and quantitative composition of a medicinal product in the dose form authorized for administration by a medicines regulatory agency and as represented with any corresponding regulated product information', '[erythromycin] is chemical compound']"
Does the {PPP GDP per capita} of the {Lithuania} {less than} {22148.8},18025,boolean with filter,43,Is the PPP GDP per capita of Lithuania less than 22148.8,ASK WHERE { wd:Q37 wdt:P2299 ?obj filter(?obj < 22148.8) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q37> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2299>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 22148.8) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the PPP GDP per capita of Lithuania less than 22148.8,ASK WHERE { [Lithuania] [PPP GDP per capita] ?obj filter(?obj < 22148.8) } ,"['[Lithuania] is country in northeastern Europe', '[PPP GDP per capita] is GDP divided by the population total and adjusted for CPI']"
Does the {topographic prominence} of the {Franzosenkopf} {less than} {4.0},19243,boolean with filter,1261,Is the topographic prominence of the Franzosenkopf less than 4.0?,ASK WHERE { wd:Q1450459 wdt:P2660 ?obj filter(?obj < 4.0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1450459> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2660>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 4.0) },ASK ?sbj ?pred ?obj filter ?obj = num,Is 4.0 greater than the topographic prominence of the Franzosenkopf?,ASK WHERE { [Franzosenkopf] [topographic prominence] ?obj filter(?obj < 4.0) } ,"['[Franzosenkopf] is mountain', '[topographic prominence] is height of a mountain or hill relative to the lowest contour line encircling it (on Earth, maximum 8,848 m)']"
What is the {Chinese dynasty} for {replaced by} of {Yuan dynasty},21472,simple question right,1818,What Chinese dynasty replaced the Yuan dynasty?, select distinct ?obj where { wd:Q7313 wdt:P1366 ?obj . ?obj wdt:P31 wd:Q12857432 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7313> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1366> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q12857432> } , <S P ?O ; ?O instanceOf Type>,What dynasty came after the Yuan in China?, select distinct ?obj where { [Yuan dynasty] [replaced by] ?obj . ?obj [instance of] [Chinese dynasty] } ,"['[Yuan dynasty] is Mongol-led imperial dynasty of China (1271–1368)', '[replaced by] is other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series).', '[Chinese dynasty] is dynasty that ruled a Chinese state', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
What is {pronunciation audio} of {constructed out of} of {meat pie} ?,17572,right-subgraph,39,How would you spell meat pie using the international phonetic alphabet?,SELECT ?answer WHERE { wd:Q5367573 wdt:P186 ?X . ?X wdt:P443 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q5367573> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P186>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P443> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,In what manner would you spell meat pie utilizing international phonetic alphabet?,SELECT ?answer WHERE { [meat pie] [made from material] ?X . ?X [pronunciation audio] ?answer},"['[made from material] is material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes)', '[meat pie] is pie with a filling of meat', '[pronunciation audio] is audio file with pronunciation']"
What is the {human} for {place of birth} of {Thessaloniki},19941,simple question left,287,Where is the human place of birth in Thessaloniki?, select distinct ?sbj where { ?sbj wdt:P19 wd:Q17151 . ?sbj wdt:P31 wd:Q5 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P19> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q17151> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } ,<?S P O ; ?S InstanceOf Type>,Where was Thessaloniki born?, select distinct ?sbj where { ?sbj [place of birth] [Thessaloniki] . ?sbj [instance of] [human] } ,"['[human] is any member of Homo sapiens, unique extant species of the genus Homo, from embryo to adult', '[place of birth] is most specific known birth location of a person, animal or fictional character', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[Thessaloniki] is city in Macedonia, Greece']"
what is the {academic degree} for {John Grisham} has {educated at} as {University of Mississippi School of Law} ?,8353,statement_property,4798,did john grisham have a degree in law in the University of mississippi school of law?,SELECT ?value WHERE { wd:Q106465 p:P69 ?s . ?s ps:P69 wd:Q14693404 . ?s pq:P512 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q106465> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P69> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q14693404> .
?statement <http://www.wikidata.org/entity/P512> ?value. 
} 
",(E pred ?Obj ) prop value,Did John Grisham receive a law degree from the University of Mississippi School of law?,SELECT ?value WHERE { [John Grisham] [educated at] ?s . ?s [educated at] [University of Mississippi School of Law] . ?s [academic degree] ?value},"['[University of Mississippi School of Law] is law school in Oxford, Mississippi, U.S.', '[educated at] is educational institution attended by subject', '[educated at] is educational institution attended by subject', '[academic degree] is academic degree that the person holds', '[John Grisham] is American writer (born 1955)']"
"What is {participated in} of {Deep Blue}, that has {top dog} is {Cray Blitz} ?",12612,right-subgraph,657,Who else participated in Deep Blue with top dog Cray Blitz?,SELECT ?answer WHERE { wd:Q187899 wdt:P1344 ?answer . ?answer wdt:P1346 wd:Q937297},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q187899> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1344>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1346> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q937297> . },E REF ?F . ?F RFG G,Who else took an interest in Deep Blue with big enchilada Cray Blitz?,SELECT ?answer WHERE { [Deep Blue] [participant in] ?answer . ?answer [winner] [Cray Blitz]},"['[participant in] is event in which a person or organization was/is a participant; inverse of P710 or P1923', '[Cray Blitz] is computer chess program written to run on the Cray supercomputer', '[Deep Blue] is chess-playing supercomputer built by IBM', '[winner] is winner of a competition or similar event, not to be used for awards (instead use ""award received"" (P166) on awardee\'s item, possibly qualified with ""for work"" (P1686)) or for wars or battles']"
what is the {start time} for {The Tonight Show} has {presenter} as {Johnny Carson} ?,7933,statement_property,4378,When did Johnny Carson start as the presenter for The Tonight Show?,SELECT ?value WHERE { wd:Q1338655 p:P371 ?s . ?s ps:P371 wd:Q310819 . ?s pq:P580 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1338655> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P371> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q310819> .
?statement <http://www.wikidata.org/entity/P580> ?value. 
} 
",(E pred ?Obj ) prop value,Give the date Johnny Carson began as the presenter for The Tonight Show.,SELECT ?value WHERE { [The Tonight Show] [presenter] ?s . ?s [presenter] [Johnny Carson] . ?s [start time] ?value},"['[start time] is time an entity begins to exist or a statement starts being valid', '[The Tonight Show] is American late-night talk show hosted by Jimmy Fallon', '[presenter] is main role in presenting a radio or television program or a performing arts show', '[presenter] is main role in presenting a radio or television program or a performing arts show', '[Johnny Carson] is American talk show host and comedian (1925–2005)']"
How many {armament} are to/by {aircraft} ?,2400,statement_property,1744,How many armament does the aircraft has?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P520 wd:Q11436 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P520> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q11436 .
} 
",Count ent (ent-pred-obj),What are all the kinds of armaments on this aircraft?,SELECT (COUNT(?sub) AS ?value ) { ?sub [armament] [aircraft] },"['[armament] is equippable weapon item for the subject', '[aircraft] is machine that is able to fly by gaining support from the air other than the reactions of the air against the earth’s surface']"
What is the {association football tournament} with the {MIN(frequency of event)} whose {competition class} is {women's association football}  ?,3197,rank,419,Name the women's association football team who play the least in tournaments.,select ?ent where { ?ent wdt:P31 wd:Q1478437 . ?ent wdt:P2257 ?obj . ?ent wdt:P2094 wd:Q606060. } ORDER BY ASC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q1478437>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2257>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2094> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q606060> .

}
ORDER BY ASC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value),"Who play the least in tournaments, is what women's association football team?",select ?ent where { ?ent [instance of] [association football competition] . ?ent [event interval] ?obj . ?ent [competition class] [women's association football]. } ORDER BY ASC(?obj)LIMIT 5 ,"[""[women's association football] is association football when played by women"", '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[competition class] is official classification by a regulating body under which the subject (events, teams, participants, or equipment) qualifies for inclusion', '[event interval] is standard nominal interval between scheduled or regularly recurring events. Include unit of time, e.g. ""year"" (Q577). 1/(event frequency). Time period of periodically occurring event', '[association football competition] is competition of soccer (association football)']"
How many {input method} are to/by {computer keyboard} ?,2159,statement_property,1503,How many input methods are on a computer keyboard?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P479 wd:Q250 },"SELECT (COUNT(?sub) AS ?subs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sub .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P479> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> http://wikidata.dbpedia.org/resource/Q250 .
} 
",Count ent (ent-pred-obj),A computer keyboard has how many input options?,SELECT (COUNT(?sub) AS ?value ) { ?sub [input device] [computer keyboard] },"['[input device] is input device used to interact with a software or a device', '[computer keyboard] is device comprising an arrangement of buttons or keys used to input text in computers']"
Give me {cryptocurrency} that {stock exchange} {Bitfinex} and which contains the word {neo} in their name,25107,string matching type + relation contains word,1709,"Tell me me a cryptocurrenc whose name consist of the word ""neo"" and whose stock exchange bitfinex","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q13479982 . ?sbj wdt:P414 wd:Q29647473 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'neo')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q13479982>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P414> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q29647473>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'neo')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,"Tell me me a cryptocurrenc whose title consist of the phrase ""neo"" and whose stock change bitfinex","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [cryptocurrency] . ?sbj [stock exchange] [Bitfinex] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'neo')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","['[cryptocurrency] is digital medium of exchange using cryptography on a ledger to secure transactions and to verify transfer of ownership', '[stock exchange] is exchange on which this company is traded', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[Bitfinex] is cryptocurrency exchange']"
What is the {opposite of} and the {named after} of {Jews} ?,9594,two intentions right subgraph,70,What are Jews the opposite of and for whom are they named?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q7325 wdt:P461 ?ans_1 . wd:Q7325 wdt:P138 ?ans_2 }, SELECT ?ans_1 ?ans_2 WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7325> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P461> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_1. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7325> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P138> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?ans_2. } ,select where (ent-pred-obj1 . ent-pred-obj2),"What is the opposite of Jews, and who are they named for?",SELECT ?ans_1 ?ans_2 WHERE { [Jewish people] [opposite of] ?ans_1 . [Jewish people] [named after] ?ans_2 },"['[named after] is entity or event that inspired the subject\'s name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one', '[Jewish people] is ethnoreligious group and nation from the Levant', '[opposite of] is item that is in some way the opposite of this item', '[Jewish people] is ethnoreligious group and nation from the Levant']"
What is the {chemical compound} with the {MAX(explosive velocity)} whose {subject has role} is {explosive material}  ?,3160,rank,359,What explosive chemical has the highest explosive velocity ?,select ?ent where { ?ent wdt:P31 wd:Q11173 . ?ent wdt:P2231 ?obj . ?ent wdt:P2868 wd:Q12870 } ORDER BY DESC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q11173>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2231>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2868> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q12870> .

}
ORDER BY DESC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value),Which chemical that's explosive has the highest explosive velocity?,select ?ent where { ?ent [instance of] [chemical compound] . ?ent [explosive velocity] ?obj . ?ent [subject has role] [explosive chemicals] } ORDER BY DESC(?obj)LIMIT 5 ,"['[explosive velocity] is şok dalgası cephesinin patlatılmış bir patlayıcıdan geçtiği hız', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)', '[chemical compound] is pure chemical substance consisting of two or more different chemical elements', '[subject has role] is role/generic identity of the item (""subject"") in the context of a statement. For the role of the value of the statement (""object""), use P3831 (""object has role""). For acting roles, use P453 (""character role""). For persons, use P39.', '[explosive chemicals] is reactive substance that contains a great amount of potential energy that can produce an explosion']"
Does the {genome size} of the {human genome} {greater than} {3881796000.0},18356,boolean with filter,374,Is the human genome size more than 3881796000?,ASK WHERE { wd:Q720988 wdt:P2143 ?obj filter(?obj > 3881796000.0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q720988> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2143>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj > 3881796000.0) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the size of the human genome over 3881796000?,ASK WHERE { [human genome] [genome size] ?obj filter(?obj > 3881796000.0) } ,"['[human genome] is complete set of nucleic acid sequence for humans', '[genome size] is size of the genome in base pairs']"
What is the {human} for {doctoral advisor} of {C. V. Raman},20802,simple question left,1148,Who is C. V. Raman's doctor, select distinct ?sbj where { ?sbj wdt:P184 wd:Q60429 . ?sbj wdt:P31 wd:Q5 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P184> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q60429> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } ,<?S P O ; ?S InstanceOf Type>,Which doctor has C.V. Raman as a patient?, select distinct ?sbj where { ?sbj [doctoral advisor] [Chandrasekhara Venkata Raman] . ?sbj [instance of] [human] } ,"['[human] is any member of Homo sapiens, unique extant species of the genus Homo, from embryo to adult', '[Chandrasekhara Venkata Raman] is Indian physicist (1888–1970)', '[doctoral advisor] is person who supervised the doctorate or PhD thesis of the subject', '[instance of] is that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)']"
