NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated,llama3_response,eval_manual,eval_llm,eval_bert,eval_bleu
Give me {skill} that starts with {'s'},24611,string matching simple contains word,2614,What is a skill that starts with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q205961 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q205961>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,What could be a aptitude that begins with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of skill . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What are the skills that start with the letter S?,1.0,0,0.8770808,4.1927887725759647e-78
How many {from fictional universe} are for {Captain America} ?,1344,statement_property,344,How many dimensions have a Captain America?,SELECT (COUNT(?obj) AS ?value ) { wd:Q190679 wdt:P1080 ?obj },"SELECT (COUNT(?obj) AS ?objs ) {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q190679> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1080> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
} 
",Count Obj (ent-pred-obj),Give me the dimensions of Captain America,SELECT (COUNT(?obj) AS ?value ) { Captain America from narrative universe ?obj },How many stories or narratives is Captain America featured in?,1.0,0,0.732598,8.14486865257726e-155
What is {award received} of {Danila Kozlovsky} that is {point in time} is {2017-0-0} ?,8396,statement_property,4841,What award did Danila Kozlovsky receive in 2017?,"SELECT ?obj WHERE { wd:Q3015088 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2017')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3015088> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2017-0-0>
} 
",(E pred F) prop ?value,What award did Danila Kozlovsky get in 2017?,"SELECT ?obj WHERE { Danila Kozlovsky p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2017')) }",Who is the wife of Danila Kozlovsky who was born in 2017?,0.0,0,0.8066712,7.401184483348608e-155
What is {students} of {coined} of {Euler–Lagrange equation} ?,17797,right-subgraph,892,Who is the student that coined the Euler-Lagrange equation?,SELECT ?answer WHERE { wd:Q875744 wdt:P61 ?X . ?X wdt:P802 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q875744> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P61>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P802> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,Who is the understudy that coined the Euler-Lagrange equation?,SELECT ?answer WHERE { Euler-Lagrange equation discoverer or inventor ?X . ?X student ?answer},Who was the student of the person who discovered or invented the Euler-Lagrange equation?,1.0,0,0.9293822,3.679942863094852e-78
Does the {minimal lethal dose} of the {benzene} {equals} {170000},18444,boolean with filter,462,Is the minimal lethal dose of the benzene equal to 170000?,ASK WHERE { wd:Q2270 wdt:P2300 ?obj filter(?obj = 170000) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2270> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2300>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 170000) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the negligible deadly dosage of the benzene rise to to 170000?,ASK WHERE { benzene minimal lethal dose ?obj filter(?obj = 170000) } ,"Is the minimal lethal dose of benzene exactly 170,000?",1.0,0,0.8743823,0.4888290318657942
What is the {human} for {student of} of {Ivan Pavlov},20145,simple question right,491,Who is the person that was a student of Ivan Pavlov?, select distinct ?obj where { wd:Q42985 wdt:P1066 ?obj . ?obj wdt:P31 wd:Q5 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q42985> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1066> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q5> } , <S P ?O ; ?O instanceOf Type>,Who is the person Ivan Pavlov's student?, select distinct ?obj where { Ivan Pavlov student of ?obj . ?obj instance of human } ,Who was Ivan Pavlov's student?,1.0,1,0.8976095,6.686701276748014e-155
Does the {clock speed} of the {Watara Supervision} {less than} {3.2},18264,boolean with filter,282,is the clock speed of the Watara Supervision smaller than 3.2?,ASK WHERE { wd:Q732683 wdt:P2149 ?obj filter(?obj < 3.2) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q732683> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2149>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 3.2) },ASK ?sbj ?pred ?obj filter ?obj = num,is the clock speed of the Watara Supervision littler than 3.2?,ASK WHERE { Watara Supervision clock frequency ?obj filter(?obj < 3.2) } ,Does Watara Supervision's clock frequency run slower than 3.2?,1.0,1,0.88104117,5.798881106377341e-155
What is the {sovereign state} for {diplomatic relation} of {African Union},19896,simple question right,242,What country is the current leader of the African Union ?, select distinct ?obj where { wd:Q7159 wdt:P530 ?obj . ?obj wdt:P31 wd:Q3624078 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q7159> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P530> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q3624078> } , <S P ?O ; ?O instanceOf Type>,What country leads the African Union?, select distinct ?obj where { African Union diplomatic relation ?obj . ?obj instance of sovereign state } ,Which country has diplomatic relations with the African Union?,0.0,0,0.8257434,3.4712915060210917e-78
What is {works for} of {accused} of {Mariposa Folk Festival 1974} ?,16037,left-subgraph,22,Who works for the accused Mariposa Folk Festival 1974?,SELECT ?answer WHERE { wd:Q54554872 wdt:P710 ?X . ?X wdt:P108 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q54554872> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P710>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P108> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,The accused Mariposa Folk Festival in 1974 employed whom?,SELECT ?answer WHERE { Mariposa Folk Festival 1974 participant ?X . ?X employer ?answer},Who was the employer of someone who participated at the Mariposa Folk Festival in 1974?,0.0,1,0.8499228,0.1892240568795935
What is the {neighborhood} for {shares border with} of {Los Angeles},22651,simple question right,3712,, select distinct ?obj where { wd:Q65 wdt:P47 ?obj . ?obj wdt:P31 wd:Q123705 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q65> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P47> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q123705> } , <S P ?O ; ?O instanceOf Type>,N / A N / A, select distinct ?obj where { Los Angeles shares border with ?obj . ?obj instance of neighborhood } ,What neighborhoods does Los Angeles share its borders with?,0.0,0,0.36496332,0.0
What is {sister city} of {born in} of {Zakhar Oskotsky} ?,15426,left-subgraph,29905,What sister city was born in of Zakhar Oskotsky?,SELECT ?answer WHERE { wd:Q4338004 wdt:P19 ?X . ?X wdt:P190 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q4338004> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P19>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Which sister city in Zakhar Oskotsky was born?,SELECT ?answer WHERE { Zakhar Oskotsky place of birth ?X . ?X twinned administrative body ?answer},"In which city was Zakhar Oskotsky born, that is also the twin city of another location?",0.0,0,0.8683419,6.7393716283177006e-155
Give me {fantastique genre} that starts with {'s'},24275,string matching simple contains word,1045,Tell me the name of a fantastique genre that starts with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q20076756 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q20076756>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,Let me know the title of a fantastique sort that begins with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of speculative/fantastic fiction genre . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What are the science fiction genres that start with a letter S?,1.0,1,0.8362972,1.2390051155620428e-231
"What is {musical score by} of {Missa Solemnis}, that has {has mother} is {Maria Magdalena van Beethoven} ?",12032,right-subgraph,178,What is the musical score by Missa Solemnis that has mother Maria Magdalena van Beethoven?,SELECT ?answer WHERE { wd:Q723790 wdt:P86 ?answer . ?answer wdt:P25 wd:Q14507972},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q723790> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P86>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P25> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q14507972> . },E REF ?F . ?F RFG G,What is the musical rating by means of Missa Solemnis that has mother Maria Magdalena van Beethoven?,SELECT ?answer WHERE { Missa Solemnis composer ?answer . ?answer mother Maria Magdalena van Beethoven},"Who is the composer of Missa Solemnis, who was also the mother of Maria Magdalena van Beethoven?",0.0,0,0.83664346,0.1992340565813792
what is the {point in time} for {Robert De Niro} has {residence} as {Marbletown} ?,6819,statement_property,3264,When did Robert De Niro reside in Marbletown?,SELECT ?value WHERE { wd:Q36949 p:P551 ?s . ?s ps:P551 wd:Q3708911 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q36949> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P551> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q3708911> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,When did Robert De Nirolive in Marbletown?,SELECT ?value WHERE { Robert De Niro p:P551 ?s . ?s ps:P551 Marbletown . ?s pq:P585 ?value},What is the birthplace of Robert De Niro?,1.0,0,0.6599591,6.484592771860512e-155
Give me {organization} that contains the word {zollkriminalamt} in their name,23339,string matching simple contains word,2519,Tell me organization whose name has the word  zollkriminalamt  in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q43229 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q43229>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Let me know organization whose title has the word zollkriminalamt in it.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of organization . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'zollkriminalamt')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","What is the name of an organization that has \""Zollkriminalamt\"" in its title?",1.0,1,0.87513965,1.4347128449946335e-231
What is the {state} with the {MAX(inflation rate)} whose {member of} is {International Centre for Settlement of Investment Disputes}  ?,3127,rank,326,Which member state of the International Centre for Settlement of Investment Disputes has the maximum inflation rate?,select ?ent where { ?ent wdt:P31 wd:Q7275 . ?ent wdt:P1279 ?obj . ?ent wdt:P463 wd:Q899770 } ORDER BY DESC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q7275>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1279>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P463> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q899770> .

}
ORDER BY DESC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MAX (value),Which country in the International Centre for Settlement of Investment Disputes has the highest inflation rate?,select ?ent where { ?ent instance of state . ?ent inflation rate ?obj . ?ent member of International Centre for Settlement of Investment Disputes } ORDER BY DESC(?obj)LIMIT 5 ,"Which states have the highest inflation rates and are also members of the International Centre for Settlement of Investment Disputes, in descending order?",1.0,0,0.9224496,0.3725748409395151
