NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
"What is {county seat} of {Central District}, that has {twin cities} is {Feodosiya} ?",12163,right-subgraph,2775,"Located in the Central District, what is the county seat whose twin cities include Feodosiya?",SELECT ?answer WHERE { wd:Q188785 wdt:P36 ?answer . ?answer wdt:P190 wd:Q158491},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q188785> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P36>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P190> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q158491> . },E REF ?F . ?F RFG G,"Located in the Central District, what is the county seat whose twin cities include Feodosiya?",SELECT ?answer WHERE { Central District capital ?answer . ?answer twinned administrative body Feodosiia}
what is the {point in time} for {Nicaragua} has {population} as {3.87732e+06} ?,8338,statement_property,4783,When did Nicaragua count a population of 3.87732e+06 inhabitants?,"SELECT ?value WHERE { wd:Q811 p:P1082 ?s . ?s ps:P1082 ?x filter(contains(?x,'3.87732e+06')) . ?s pq:P585 ?value}","select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q811> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <3.87732e+06> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,In what year was Nicaragua's population 3.87732 million?,"SELECT ?value WHERE { Nicaragua p:P1082 ?s . ?s ps:P1082 ?x filter(contains(?x,'3.87732e+06')) . ?s pq:P585 ?value}"
What is the {meta-organization} for {regulated by} of {association football},20025,simple question right,371,Which is the meta-organization that is regulated by the football association?, select distinct ?obj where { wd:Q2736 wdt:P3719 ?obj . ?obj wdt:P31 wd:Q37178026 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q2736> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3719> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q37178026> } , <S P ?O ; ?O instanceOf Type>,The football association regulates what organization?, select distinct ?obj where { association football regulated by ?obj . ?obj instance of metaorganization } 
What is {spouse} of {Nero} that is {end time} is {68-6-9} ?,3760,statement_property,205,When was the spouse divorced Nero in 9-6-68,"SELECT ?obj WHERE { wd:Q1413 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P582 ?x filter(contains(?x,'68-6-9')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1413> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P582> <68-6-9>
} 
",(E pred F) prop ?value,When was the companion separated Nero in 9-6-68?,"SELECT ?obj WHERE { Nero p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P582 ?x filter(contains(?x,'68-6-9')) }"
What is the {written work} for {has edition} of {Septuagint},21736,simple question left,2082,n/a, select distinct ?sbj where { ?sbj wdt:P747 wd:Q29334 . ?sbj wdt:P31 wd:Q47461344 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P747> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q29334> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q47461344> } ,<?S P O ; ?S InstanceOf Type>,Not applicable, select distinct ?sbj where { ?sbj has edition or translation Septuagint . ?sbj instance of written work } 
"What is {award} of {Art Spiegelman}, that has {champ} is {Francisco X. Alarcón} ?",11886,right-subgraph,5515,Former champion Francisco Alarcon gave what award to Art Spiegelaman?,SELECT ?answer WHERE { wd:Q325945 wdt:P166 ?answer . ?answer wdt:P1346 wd:Q5484051},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q325945> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1346> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q5484051> . },E REF ?F . ?F RFG G,Former champion Francisco Alarcon gave what award to Art Spiegelaman?,SELECT ?answer WHERE { Art Spiegelman award received ?answer . ?answer winner Francisco X. Alarcón}
Does the {number of survivors} of the {Charkhi Dadri mid-air collision} {equals} {0},19179,boolean with filter,1197,Are there more than 0 survivors of the Charkhi Dadri mid-air collision,ASK WHERE { wd:Q118373 wdt:P1561 ?obj filter(?obj = 0) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q118373> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1561>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 0) },ASK ?sbj ?pred ?obj filter ?obj = num,Are there more than survivors of the Charkhi Dadri mid-air collision,ASK WHERE { Charkhi Dadri mid-air collision number of survivors ?obj filter(?obj = 0) } 
what is the {point in time} for {Secretariat} has {award received} as {Triple Crown Trophy} ?,5075,statement_property,1520,When did Secretariat receive the Triple Crown Trophy?,SELECT ?value WHERE { wd:Q1151926 p:P166 ?s . ?s ps:P166 wd:Q7843370 . ?s pq:P585 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1151926> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q7843370> .
?statement <http://www.wikidata.org/entity/P585> ?value. 
} 
",(E pred ?Obj ) prop value,On what date was Triple Crown Trophy given to Secretariat?,SELECT ?value WHERE { Secretariat p:P166 ?s . ?s ps:P166 Triple Crown Trophy . ?s pq:P585 ?value}
"What is {borders} of {Riverside}, that has {start date} is {1984-0-0} ?",12513,right-subgraph,1573,Which borders of borders of Riverside have a start date of 1984-0-0?,"SELECT ?answer WHERE { wd:Q49243 wdt:P47 ?answer . ?answer wdt:P571 ?x FILTER(contains(YEAR(?x),'1984'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q49243> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P47>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P571> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <1984-0-0> . },E REF ?F . ?F RFG G,Which borders of borders of Riverside have a begin date of 1984-0-0?,"SELECT ?answer WHERE { Riverside shares border with ?answer . ?answer inception ?x FILTER(contains(YEAR(?x),'1984'))}"
Give me {cause of death} that {medical examinations} {computed tomography} and which that starts with {'p'},25596,string matching type + relation contains word,453,"What is a cause of death that begins with the letter ""p"" and can be found on a CT scan?","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1931388 . ?sbj wdt:P923 wd:Q32566 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1931388>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P923> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q32566>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,"What is a purpose of dying that begins with the letter ""p"" and can be located on a CT scan?","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of cause of death . ?sbj medical examination computed tomography . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
"What is {established by} of {Archbishop of Canterbury}, that has {male} is {male} ?",12980,right-subgraph,104,"What is established by Archbishop of Canterbury, who is a male?",SELECT ?answer WHERE { wd:Q29282 wdt:P112 ?answer . ?answer wdt:P21 wd:Q6581097},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q29282> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P112>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P21> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q6581097> . },E REF ?F . ?F RFG G,"What is hooked up by way of Archbishop of Canterbury, who is a male?",SELECT ?answer WHERE { Archbishop of Canterbury founded by ?answer . ?answer sex or gender male}
what is the {Commons category} for {Fernandel} has {place of burial} as {Passy Cemetery} ?,4690,statement_property,1135,In what area is Fernandel buried at the Passy Cemetery?,SELECT ?value WHERE { wd:Q129092 p:P119 ?s . ?s ps:P119 wd:Q1092107 . ?s pq:P373 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q129092> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P119> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1092107> .
?statement <http://www.wikidata.org/entity/P373> ?value. 
} 
",(E pred ?Obj ) prop value,Where at Passy Cementery is Fernandel buried?,SELECT ?value WHERE { Fernandel p:P119 ?s . ?s ps:P119 Passy Cemetery . ?s pq:P373 ?value}
What is the {naval artillery} with the {MIN(effective firing range)} whose {instance of} is {naval artillery}  ?,3398,rank,620,Name the naval artillery wirh the smallest firing range?,select ?ent where { ?ent wdt:P31 wd:Q511450 . ?ent wdt:P4176 ?obj . ?ent wdt:P31 wd:Q511450. } ORDER BY ASC(?obj)LIMIT 5 ,"select ?ent where {
?ent <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q511450>.

?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P4176>.
?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj1.

?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?ent .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> .
?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q511450> .

}
ORDER BY ASC(?obj1)
LIMIT 5",?E is_a Type. ?E pred Obj. ?E-secondClause value. MIN (value),How is the naval artillery wirh the smallest firing range called?,select ?ent where { ?ent instance of naval artillery . ?ent effective firing range ?obj . ?ent instance of naval artillery. } ORDER BY ASC(?obj)LIMIT 5 
"What is {namesake} of {cayenne pepper}, that has {construction date} is {1664-0-0} ?",13939,right-subgraph,167,What is the name of a Cayenne Pepper that also has dates?,"SELECT ?answer WHERE { wd:Q6598 wdt:P138 ?answer . ?answer wdt:P571 ?x FILTER(contains(YEAR(?x),'1664'))}",SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q6598> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P138>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P571> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <1664-0-0> . },E REF ?F . ?F RFG G,What is the title of a Cayenne Pepper that too has dates?,"SELECT ?answer WHERE { cayenne pepper named after ?answer . ?answer inception ?x FILTER(contains(YEAR(?x),'1664'))}"
Does the {throughput} of the {Vest-vassdraget} {equals} {2697.672},18840,boolean with filter,858,Is the throughput of the Vest-vassdraget equal to 2697.672?,ASK WHERE { wd:Q58370919 wdt:P2957 ?obj filter(?obj = 2697.672) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q58370919> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2957>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 2697.672) },ASK ?sbj ?pred ?obj filter ?obj = num,Does Vest-vassdraget have a throughput of 2697.672?,ASK WHERE { Vest-vassdraget throughput ?obj filter(?obj = 2697.672) } 
What is {population} of {Taguig} that is {determination method} is {census} ?,9357,statement_property,5802,What method did the census use to determine the population of Taguig?,SELECT ?obj WHERE { wd:Q1643 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P459 wd:Q39825 },"select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1643> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1082> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P459> <http://wikidata.dbpedia.org/resource/Q39825>
} 
",(E pred F) prop ?value,wich method was used by the census to determine the population of Taguig?,SELECT ?obj WHERE { Taguig p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P459 census }
What is {award received} of {Olga Tokarczuk} that is {point in time} is {2015-0-0} ?,5550,statement_property,1995,What award did Olga Tokarczuk receive in 2015?,"SELECT ?obj WHERE { wd:Q254032 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2015')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q254032> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <2015-0-0>
} 
",(E pred F) prop ?value,Olga Tokarczuk was the winner of what award in 2015?,"SELECT ?obj WHERE { Olga Tokarczuk p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2015')) }"
Did {Aleister_Crowley} {educated at} {Trinity College} and {Eton College} ?,843,boolean double one_hop right subgraph,343,Was Aleister Crowley educated at Trinity College and Eton College?,ASK WHERE { wd:Q172684 wdt:P69 wd:Q332342 . wd:Q172684 wdt:P69 wd:Q192088 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q172684> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P69> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q332342>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q172684> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P69> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q192088>. } ,Ask (ent-pred-obj1 . ent-pred-obj2`),Did Aleister Crowley receive his education at Trinity College and Eton College?,ASK WHERE { Aleister Crowley educated at Trinity College . Aleister Crowley educated at Eton College }
"What is {location of narrative} of {Infinite Jest}, that has {next to} is {Quincy} ?",11930,right-subgraph,1629,"What is {located next to Quincy,} in the {novel, Infinite Jest}?",SELECT ?answer WHERE { wd:Q1077445 wdt:P840 ?answer . ?answer wdt:P47 wd:Q49143},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1077445> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P840>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?answer. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P47> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q49143> . },E REF ?F . ?F RFG G,"What is {located next to Quincy,} in the {novel, Infinite Jest}?",SELECT ?answer WHERE { Infinite Jest narrative location ?answer . ?answer shares border with Quincy}
what is the {conferred by} for {Eric Hobsbawm} has {award received} as {doctor honoris causa} ?,6008,statement_property,2453,Who awarded Eric Hobsbawm an honorary doctorate?,SELECT ?value WHERE { wd:Q34933 p:P166 ?s . ?s ps:P166 wd:Q11415564 . ?s pq:P1027 ?value},"select distinct ?value  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q34933> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q11415564> .
?statement <http://www.wikidata.org/entity/P1027> ?value. 
} 
",(E pred ?Obj ) prop value,Eric Hobsbawm was presented with an honorary doctorate by what institution?,SELECT ?value WHERE { Eric Hobsbawm p:P166 ?s . ?s ps:P166 honorary doctorate . ?s pq:P1027 ?value}
What is {member of sports team} of {Allan Border} that is {end time} is {1980-0-0} ?,7899,statement_property,4344,What was the last team Allan Border belonged to in the year 1980?,"SELECT ?obj WHERE { wd:Q1392194 p:P54 ?s . ?s ps:P54 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'1980')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1392194> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P54> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P582> <1980-0-0>
} 
",(E pred F) prop ?value,In 1980 name the last team Allan Border played for?,"SELECT ?obj WHERE { Allan Border p:P54 ?s . ?s ps:P54 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'1980')) }"
Give me {film character} that {from fictional universe} {Marvel Universe} and which that starts with {'w'},25365,string matching type + relation contains word,3185,"Give me a film character from a fictional universe, such as Marvel comics that starts with a W.","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q15773347 . ?sbj wdt:P1080 wd:Q931597 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q15773347>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1080> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q931597>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,"Give me a movie personality from a fictional universe, such as Marvel comics that starts with a W.","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of film character . ?sbj from narrative universe Marvel Universe . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'w')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
What is the {fictional universe} for {fictional universe described in} of {The Matrix},21297,simple question left,1643,Mention the fictional universe described or included in The Matrix., select distinct ?sbj where { ?sbj wdt:P1445 wd:Q83495 . ?sbj wdt:P31 wd:Q559618 } ,select distinct ?subj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?subj . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1445> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q83495> . ?subj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q559618> } ,<?S P O ; ?S InstanceOf Type>,Say the anecdotal universe depicted or included within The Framework., select distinct ?sbj where { ?sbj fictional universe described in The Matrix . ?sbj instance of fictional universe } 
What is {award received} of {Hans Krebs} that is {point in time} is {1966-0-0} ?,4903,statement_property,1348,What is {award received} of {Hans Krebs} where {point in time} is {1966-0-0} ?,"SELECT ?obj WHERE { wd:Q57191 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1966')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q57191> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P166> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P585> <1966-0-0>
} 
",(E pred F) prop ?value,What is {grant gotten} of {Hans Krebs} where {point in time} is {1966-0-0} ?,"SELECT ?obj WHERE { Hans Krebs p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1966')) }"
What is the {record label} for {record label} of {Janet Jackson},22698,simple question right,3759,Which record label signed Janet Jackson?, select distinct ?obj where { wd:Q131324 wdt:P264 ?obj . ?obj wdt:P31 wd:Q18127 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q131324> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P264> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q18127> } , <S P ?O ; ?O instanceOf Type>,What is the record label signed by Janet Jackson?, select distinct ?obj where { Janet Jackson record label ?obj . ?obj instance of record label } 
Does the {slope rating} of the {Merion Golf Club} {equals} {149},19036,boolean with filter,1054,Does the slope rating of the Merion Golf Club equal 149,ASK WHERE { wd:Q3962734 wdt:P3840 ?obj filter(?obj = 149) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q3962734> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P3840>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 149) },ASK ?sbj ?pred ?obj filter ?obj = num,Is the slope rating of the Merion Golf Club 149?,ASK WHERE { Merion Golf Club slope rating ?obj filter(?obj = 149) } 
What is {density} of {hydrogen peroxide} that is {temperature} is {20.0} ?,9408,statement_property,5853,What is the density of hydrogen peroxide at a temperature of 20.0?,"SELECT ?obj WHERE { wd:Q171877 p:P2054 ?s . ?s ps:P2054 ?obj . ?s pq:P2076 ?x filter(contains(?x,'20.0')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q171877> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2054> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P2076> <20.0>
} 
",(E pred F) prop ?value,What is hydrogen peroxide's density at twenty degrees?,"SELECT ?obj WHERE { hydrogen peroxide p:P2054 ?s . ?s ps:P2054 ?obj . ?s pq:P2076 ?x filter(contains(?x,'20.0')) }"
